0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"{'id': '61edb4041e79040001d84030', 'symbol': 'XBTUSDTM', 'autoDeposit': False, 'maintMarginReq': 0.005, 'riskLimit': 500000, 'realLeverage': 23.86, 'crossMode': False, 'delevPercentage': 0.0, 'openingTimestamp': 1643633102711, 'currentTimestamp': 1643633112531, 'currentQty': 90, 'currentCost': 3326.13, 'currentComm': 1.995678, 'unrealisedCost': 3326.13, 'realisedGrossCost': 0.0, 'realisedCost': 1.995678, 'isOpen': True, 'markPrice': 36966.29, 'markValue': 3326.9661, 'posCost': 3326.13, 'posCross': 0.0, 'posInit': 138.58875011, 'posComm': 2.07883125, 'posLoss': 0.0, 'posMargin': 140.66758136, 'posMaint': 18.70948125, 'maintMargin': 141.50368136, 'realisedGrossPnl': 0.0, 'realisedPnl': -1.995678, 'unrealisedPnl': 0.8361, 'unrealisedPnlPcnt': 0.0003, 'unrealisedRoePcnt': 0.006, 'avgEntryPrice': 36957.0, 'liquidationPrice': 35602.0, 'bankruptPrice': 35417.0, 'settleCurrency': 'USDT', 'isInverse': False, 'maintainMargin': 0.005}",BTC/USDT:USDT,1643633112531.0,,138.58875011,0.041666666699738134,18.70948125,0.005,36957.0,3326.13,23.86,0.8361,90.0,0.001,,35602.0,36966.29,141.50368136,isolated,buy,0.006032957215765166
"{'id': '61edb4041e79040001d84030', 'symbol': 'XBTUSDTM', 'autoDeposit': False, 'maintMarginReq': 0.005, 'riskLimit': 500000, 'realLeverage': 20.63, 'crossMode': False, 'delevPercentage': 0.83, 'openingTimestamp': 1643633102711, 'currentTimestamp': 1643636379095, 'currentQty': 90, 'currentCost': 3326.13, 'currentComm': 1.995678, 'unrealisedCost': 3326.13, 'realisedGrossCost': 0.0, 'realisedCost': 1.995678, 'isOpen': True, 'markPrice': 37208.39, 'markValue': 3348.7551, 'posCost': 3326.13, 'posCross': 0.0, 'posInit': 138.58875011, 'posComm': 2.07883125, 'posLoss': 0.0, 'posMargin': 140.66758136, 'posMaint': 18.70948125, 'maintMargin': 163.29268136, 'realisedGrossPnl': 0.0, 'realisedPnl': -1.995678, 'unrealisedPnl': 22.6251, 'unrealisedPnlPcnt': 0.0068, 'unrealisedRoePcnt': 0.1633, 'avgEntryPrice': 36957.0, 'liquidationPrice': 35602.0, 'bankruptPrice': 35417.0, 'settleCurrency': 'USDT', 'isInverse': False, 'maintainMargin': 0.005}",BTC/USDT:USDT,1643636379095.0,,138.58875011,0.041666666699738134,18.70948125,0.005,36957.0,3326.13,20.63,22.6251,90.0,0.001,,35602.0,37208.39,163.29268136,isolated,buy,0.1632535107073418,False,17665.16,17665.16,0.47799226127661876,0.63493140677003,37178.0,0.47799226127661876
"{'id': '61edb4041e79040001d84030', 'symbol': 'XBTUSDTM', 'autoDeposit': False, 'maintMarginReq': 0.005, 'riskLimit': 500000, 'realLeverage': 24.68, 'crossMode': False, 'delevPercentage': 0.0, 'openingTimestamp': 1643651101798, 'currentTimestamp': 1643651112389, 'currentQty': -90, 'currentCost': -3455.01, 'currentComm': 2.073006, 'unrealisedCost': -3455.01, 'realisedGrossCost': 0.0, 'realisedCost': 2.073006, 'isOpen': True, 'markPrice': 38433.03, 'markValue': -3458.9727, 'posCost': -3455.01, 'posCross': 0.0, 'posInit': 143.95875012, 'posComm': 2.15938125, 'posLoss': 0.0, 'posMargin': 146.11813137, 'posMaint': 19.92849768, 'maintMargin': 142.15543137, 'realisedGrossPnl': 0.0, 'realisedPnl': -2.073006, 'unrealisedPnl': -3.9627, 'unrealisedPnlPcnt': -0.0011, 'unrealisedRoePcnt': -0.0275, 'avgEntryPrice': 38389.0, 'liquidationPrice': 39791.0, 'bankruptPrice': 39989.0, 'settleCurrency': 'USDT', 'isInverse': False, 'maintainMargin': 0.005}",BTC/USDT:USDT,1643651112389.0,,143.95875012,0.04166666670139884,19.92849768,0.005,38389.0,3455.01,24.68,-3.9627,90.0,0.001,,39791.0,38433.03,142.15543137,isolated,sell,-0.027526635211105984
