t,o,h,l,c,v
1643640300000,37381.0,37497.0,37221.0,37497.0,378744
1643641200000,37493.0,37797.0,37492.0,37671.0,1188532
1643642100000,37672.0,37869.0,37650.0,37676.0,554720
1643643000000,37677.0,37808.0,37611.0,37808.0,518804
1643643900000,37807.0,37867.0,37643.0,37678.0,292701
1643644800000,37679.0,37983.0,37645.0,37906.0,739076
1643645700000,37904.0,37930.0,37766.0,37794.0,296061
1643646600000,37795.0,37963.0,37779.0,37934.0,387353
1643647500000,37934.0,38376.0,37934.0,38292.0,1470783
1643648400000,38297.0,38484.0,38050.0,38413.0,1226188
1643649300000,38413.0,38567.0,38266.0,38315.0,912549
1643650200000,38314.0,38417.0,38234.0,38382.0,425878
1643651100000,38389.0,38519.0,38389.0,38441.0,324448
1643652000000,38440.0,38500.0,38322.0,38340.0,426495
1643652900000,38345.0,38460.0,38329.0,38336.0,171043
1643653800000,38336.0,38467.0,38311.0,38432.0,304100
1643654700000,38431.0,38586.0,38397.0,38422.0,389999
1643655600000,38423.0,38566.0,38370.0,38556.0,377781
1643656500000,38557.0,38719.0,38511.0,38526.0,616521
1643657400000,38527.0,38541.0,38339.0,38421.0,436125
1643658300000,38421.0,38499.0,38350.0,38376.0,321822
1643659200000,38376.0,38457.0,38223.0,38235.0,398743
1643660100000,38234.0,38371.0,38210.0,38341.0,235430
1643661000000,38341.0,38480.0,38280.0,38410.0,305925
1643661900000,38409.0,38535.0,38388.0,38414.0,287938
1643662800000,38404.0,38490.0,38349.0,38404.0,267318
1643663700000,38404.0,38404.0,38300.0,38357.0,276987
1643664600000,38358.0,38410.0,38320.0,38333.0,147444
1643665500000,38334.0,38411.0,38328.0,38367.0,106352
1643666400000,38367.0,38470.0,38364.0,38436.0,91027
1643667300000,38434.0,38573.0,38420.0,38500.0,244712
1643668200000,38500.0,38700.0,38434.0,38545.0,270847
1643669100000,38545.0,38545.0,38348.0,38371.0,137463
1643670000000,38372.0,38444.0,38316.0,38416.0,183638
1643670900000,38416.0,38449.0,38360.0,38373.0,104540
1643671800000,38372.0,38420.0,38332.0,38332.0,76933
1643672700000,38333.0,38478.0,38315.0,38428.0,142610
1643673600000,38428.0,38599.0,38277.0,38466.0,368142
1643674500000,38465.0,38498.0,38276.0,38419.0,334142
1643675400000,38419.0,38442.0,38255.0,38285.0,245728
1643676300000,38284.0,38335.0,38242.0,38313.0,130102
1643677200000,38312.0,38374.0,38279.0,38351.0,121252
1643678100000,38350.0,38360.0,38246.0,38280.0,70059
1643679000000,38280.0,38299.0,38254.0,38258.0,40103
1643679900000,38258.0,38269.0,38089.0,38217.0,253529
1643680800000,38216.0,38273.0,38184.0,38272.0,159795
1643681700000,38272.0,38400.0,38271.0,38349.0,146499
1643682600000,38347.0,38483.0,38339.0,38436.0,164141
1643683500000,38435.0,38477.0,38387.0,38454.0,69129
1643684400000,38454.0,38519.0,38360.0,38517.0,155744
1643685300000,38513.0,38570.0,38454.0,38492.0,129742
1643686200000,38492.0,38495.0,38440.0,38495.0,109671
1643687100000,38487.0,38621.0,38463.0,38574.0,207296
1643688000000,38574.0,38611.0,38539.0,38566.0,87124
1643688900000,38564.0,38564.0,38455.0,38502.0,140880
1643689800000,38501.0,38506.0,38429.0,38503.0,159526
1643690700000,38504.0,38529.0,38465.0,38522.0,139954
1643691600000,38521.0,38552.0,38440.0,38521.0,143289
1643692500000,38520.0,38540.0,38458.0,38461.0,92454
1643693400000,38461.0,38574.0,38461.0,38570.0,170437
1643694300000,38565.0,38580.0,38364.0,38413.0,236659
1643695200000,38413.0,38449.0,38240.0,38264.0,296238
1643696100000,38265.0,38330.0,38220.0,38253.0,285646
1643697000000,38252.0,38319.0,38251.0,38256.0,125955
1643697900000,38255.0,38310.0,38250.0,38271.0,95673
1643698800000,38272.0,38363.0,38271.0,38363.0,116921
1643699700000,38362.0,38438.0,38341.0,38386.0,124051
1643700600000,38386.0,38436.0,38361.0,38376.0,77258
1643701500000,38375.0,38430.0,38351.0,38422.0,64079
1643702400000,38423.0,38535.0,38388.0,38517.0,196349
1643703300000,38517.0,38555.0,38486.0,38555.0,92890
1643704200000,38555.0,38559.0,38467.0,38490.0,90669
1643705100000,38489.0,38582.0,38483.0,38561.0,116083
1643706000000,38561.0,39100.0,38525.0,38926.0,1318881
1643706900000,38926.0,38969.0,38308.0,38454.0,962968
1643707800000,38455.0,38482.0,38232.0,38279.0,730419
1643708700000,38280.0,38312.0,38220.0,38246.0,276866
1643709600000,38246.0,38349.0,38169.0,38245.0,412832
1643710500000,38246.0,38258.0,37986.0,38141.0,691275
1643711400000,38141.0,38248.0,38090.0,38224.0,231352
1643712300000,38223.0,38291.0,38170.0,38240.0,248091
1643713200000,38238.0,38286.0,38200.0,38283.0,148861
1643714100000,38285.0,38464.0,38262.0,38370.0,359805
1643715000000,38371.0,38397.0,38302.0,38327.0,84559
1643715900000,38326.0,38450.0,38326.0,38426.0,110773
1643716800000,38420.0,38470.0,38338.0,38449.0,193100
1643717700000,38449.0,38577.0,38407.0,38561.0,278695
1643718600000,38561.0,38735.0,38513.0,38642.0,418080
1643719500000,38642.0,38673.0,38547.0,38625.0,270256
1643720400000,38626.0,38678.0,38561.0,38597.0,265786
1643721300000,38596.0,38850.0,38577.0,38611.0,547082
1643722200000,38612.0,38848.0,38430.0,38793.0,735009
1643723100000,38792.0,38920.0,38685.0,38831.0,685087
1643724000000,38830.0,38924.0,38753.0,38890.0,421233
1643724900000,38890.0,38970.0,38822.0,38872.0,428939
1643725800000,38872.0,39000.0,38489.0,38546.0,1372794
1643726700000,38545.0,38656.0,38314.0,38486.0,980475
1643727600000,38487.0,38504.0,38162.0,38393.0,1113088
1643728500000,38393.0,38486.0,38278.0,38389.0,395212
1643729400000,38389.0,38497.0,38250.0,38313.0,333498
1643730300000,38309.0,38617.0,38283.0,38585.0,393694
1643731200000,38586.0,38966.0,38560.0,38964.0,788174
1643732100000,38964.0,38964.0,38655.0,38852.0,682170
1643733000000,38851.0,38999.0,38778.0,38827.0,405582
1643733900000,38828.0,39210.0,38828.0,39084.0,952077
1643734800000,39081.0,39138.0,38850.0,38925.0,811975
1643735700000,38925.0,39017.0,38768.0,38776.0,496879
1643736600000,38775.0,38833.0,38636.0,38740.0,534222
1643737500000,38740.0,38882.0,38683.0,38853.0,266743
1643738400000,38853.0,38855.0,38730.0,38798.0,180882
1643739300000,38797.0,38849.0,38724.0,38823.0,104181
1643740200000,38822.0,38891.0,38740.0,38784.0,155398
1643741100000,38789.0,38805.0,38395.0,38512.0,496739
1643742000000,38511.0,38572.0,38432.0,38488.0,320656
1643742900000,38496.0,38525.0,38325.0,38448.0,358605
1643743800000,38449.0,38487.0,38340.0,38369.0,239682
1643744700000,38368.0,38412.0,38337.0,38365.0,203466
1643745600000,38365.0,38539.0,38350.0,38537.0,332009
1643746500000,38536.0,38576.0,38465.0,38519.0,240358
1643747400000,38520.0,38663.0,38518.0,38646.0,252453
1643748300000,38645.0,38710.0,38480.0,38480.0,278811
