t,o,h,l,c,v
1644085800000,41653.0,41716.0,41563.0,41651.0,182478
1644086700000,41650.0,41651.0,41567.0,41650.0,113268
1644087600000,41649.0,41650.0,41575.0,41627.0,106624
1644088500000,41627.0,41658.0,41466.0,41522.0,108790
1644089400000,41523.0,41611.0,41460.0,41562.0,163594
1644090300000,41562.0,41586.0,41484.0,41519.0,62865
1644091200000,41519.0,41585.0,41350.0,41440.0,295899
1644092100000,41440.0,41544.0,41370.0,41452.0,137837
1644093000000,41452.0,41550.0,41431.0,41535.0,85960
1644093900000,41535.0,41674.0,41535.0,41633.0,137866
1644094800000,41626.0,41720.0,41534.0,41696.0,223478
1644095700000,41696.0,41800.0,41674.0,41708.0,274083
1644096600000,41708.0,41708.0,41572.0,41692.0,108495
1644097500000,41691.0,41692.0,41610.0,41624.0,96821
1644098400000,41623.0,41728.0,41607.0,41707.0,238137
1644099300000,41706.0,41712.0,41643.0,41679.0,77089
1644100200000,41680.0,41682.0,41615.0,41616.0,23803
1644101100000,41615.0,41665.0,41538.0,41567.0,117089
1644102000000,41567.0,41622.0,41502.0,41582.0,88654
1644102900000,41581.0,41582.0,41471.0,41492.0,149531
1644103800000,41492.0,41520.0,41407.0,41502.0,172570
1644104700000,41502.0,41573.0,41323.0,41367.0,238895
1644105600000,41367.0,41450.0,41367.0,41431.0,113576
1644106500000,41431.0,41481.0,41378.0,41403.0,94981
1644107400000,41401.0,41433.0,41324.0,41408.0,112630
1644108300000,41408.0,41510.0,41382.0,41463.0,104516
1644109200000,41463.0,41578.0,41463.0,41572.0,119419
1644110100000,41573.0,41573.0,41464.0,41529.0,94421
1644111000000,41528.0,41553.0,41479.0,41514.0,57784
1644111900000,41514.0,41604.0,41511.0,41581.0,81198
1644112800000,41580.0,41586.0,41550.0,41578.0,47265
1644113700000,41579.0,41582.0,41519.0,41543.0,71759
1644114600000,41542.0,41544.0,41464.0,41475.0,64128
1644115500000,41475.0,41514.0,41440.0,41503.0,63351
1644116400000,41503.0,41521.0,41440.0,41452.0,43698
1644117300000,41451.0,41499.0,41411.0,41490.0,56189
1644118200000,41490.0,41521.0,41489.0,41519.0,44079
1644119100000,41518.0,41519.0,41411.0,41422.0,34461
1644120000000,41421.0,41468.0,41308.0,41351.0,193413
1644120900000,41352.0,41468.0,41316.0,41467.0,205614
1644121800000,41468.0,41505.0,41447.0,41486.0,114920
1644122700000,41485.0,41514.0,41472.0,41513.0,59960
1644123600000,41513.0,41528.0,41469.0,41469.0,47471
1644124500000,41469.0,41554.0,41469.0,41543.0,68422
1644125400000,41543.0,41560.0,41516.0,41560.0,28018
1644126300000,41559.0,41559.0,41492.0,41550.0,35796
1644127200000,41549.0,41550.0,41464.0,41476.0,76132
1644128100000,41475.0,41542.0,41446.0,41516.0,96619
1644129000000,41515.0,41542.0,41450.0,41471.0,77681
1644129900000,41471.0,41471.0,41380.0,41429.0,90301
1644130800000,41429.0,41456.0,41398.0,41456.0,43428
1644131700000,41455.0,41455.0,41394.0,41397.0,47982
1644132600000,41397.0,41543.0,41397.0,41535.0,72349
1644133500000,41540.0,41693.0,41517.0,41591.0,347479
1644134400000,41586.0,41644.0,41550.0,41572.0,100500
1644135300000,41572.0,41572.0,41481.0,41501.0,86938
1644136200000,41502.0,41615.0,41480.0,41575.0,87072
1644137100000,41575.0,41625.0,41536.0,41618.0,70210
1644138000000,41613.0,41627.0,41577.0,41591.0,69355
1644138900000,41591.0,41640.0,41569.0,41578.0,84153
1644139800000,41578.0,41609.0,41570.0,41570.0,45612
1644140700000,41570.0,41616.0,41570.0,41615.0,60587
1644141600000,41615.0,41649.0,41589.0,41638.0,65935
1644142500000,41638.0,41665.0,41600.0,41603.0,42664
1644143400000,41604.0,41604.0,41525.0,41552.0,75423
1644144300000,41551.0,41557.0,41510.0,41550.0,48416
1644145200000,41550.0,41600.0,41493.0,41510.0,64803
1644146100000,41509.0,41519.0,41500.0,41514.0,33440
1644147000000,41514.0,41540.0,41476.0,41476.0,75484
1644147900000,41476.0,41516.0,41424.0,41504.0,130737
1644148800000,41504.0,41630.0,41501.0,41595.0,136106
1644149700000,41596.0,41625.0,41546.0,41573.0,97272
1644150600000,41574.0,41598.0,41556.0,41564.0,57301
1644151500000,41565.0,41602.0,41484.0,41592.0,132890
1644152400000,41593.0,41792.0,41500.0,41549.0,490398
1644153300000,41551.0,41664.0,41463.0,41663.0,207774
1644154200000,41663.0,41711.0,41610.0,41659.0,117072
1644155100000,41659.0,41680.0,41629.0,41667.0,46241
1644156000000,41667.0,41710.0,41619.0,41646.0,73436
