t,o,h,l,c,v
1643049300000,35967.0,35968.0,35773.0,35907.0,186921
1643049600000,35901.0,35971.0,35811.0,35897.0,239041
1643049900000,35897.0,36386.0,35891.0,36293.0,525410
1643050200000,36293.0,36407.0,36164.0,36219.0,497046
1643050500000,36218.0,36260.0,36068.0,36136.0,345580
1643050800000,36129.0,36290.0,36031.0,36060.0,292653
1643051100000,36061.0,36098.0,35993.0,36058.0,214217
1643051400000,36066.0,36150.0,35879.0,35894.0,258427
1643051700000,35894.0,35946.0,35755.0,35835.0,239629
1643052000000,35825.0,35968.0,35745.0,35750.0,242333
1643052300000,35750.0,35839.0,35713.0,35817.0,148581
1643052600000,35816.0,35990.0,35800.0,35801.0,225988
1643052900000,35800.0,35806.0,35632.0,35713.0,214546
1643053200000,35713.0,35827.0,35652.0,35749.0,142993
1643053500000,35749.0,35932.0,35650.0,35919.0,238604
1643053800000,35919.0,35949.0,35860.0,35907.0,199622
1643054100000,35907.0,36156.0,35859.0,36045.0,252992
1643054400000,36044.0,36145.0,35949.0,35977.0,262341
1643054700000,35978.0,36099.0,35876.0,36077.0,357959
1643055000000,36071.0,36219.0,36054.0,36176.0,173257
1643055300000,36176.0,36297.0,36018.0,36054.0,329397
1643055600000,36054.0,36180.0,36054.0,36102.0,181121
1643055900000,36095.0,36136.0,35972.0,36056.0,280492
1643056200000,36054.0,36262.0,35982.0,36257.0,306822
1643056500000,36257.0,36667.0,36254.0,36444.0,852024
1643056800000,36445.0,36485.0,36259.0,36350.0,286383
1643057100000,36358.0,36569.0,36357.0,36453.0,287839
1643057400000,36453.0,37284.0,36449.0,37165.0,1470212
1643057700000,37170.0,37533.0,37044.0,37183.0,1070617
1643058000000,37186.0,37190.0,36781.0,36781.0,591925
1643058300000,36781.0,36949.0,36780.0,36912.0,252044
1643058600000,36902.0,37050.0,36864.0,36864.0,196454
1643058900000,36863.0,37000.0,36789.0,36989.0,203834
1643059200000,36990.0,37025.0,36794.0,36851.0,171120
1643059500000,36844.0,36923.0,36809.0,36862.0,99598
1643059800000,36863.0,37025.0,36808.0,37018.0,107002
1643060100000,37017.0,37041.0,36893.0,36894.0,134744
1643060400000,36893.0,36910.0,36808.0,36837.0,112534
1643060700000,36837.0,36882.0,36707.0,36710.0,183143
1643061000000,36710.0,36863.0,36700.0,36767.0,127955
1643061300000,36767.0,36835.0,36761.0,36789.0,92122
1643061600000,36788.0,36789.0,36666.0,36732.0,72627
1643061900000,36725.0,36748.0,36610.0,36648.0,219425
1643062200000,36648.0,36768.0,36582.0,36749.0,159366
1643062500000,36749.0,36807.0,36714.0,36714.0,108703
1643062800000,36715.0,36726.0,36587.0,36599.0,119736
1643063100000,36599.0,36649.0,36480.0,36518.0,165958
1643063400000,36518.0,36524.0,36280.0,36294.0,271099
1643063700000,36294.0,36497.0,36243.0,36339.0,150039
1643064000000,36334.0,36453.0,36324.0,36452.0,73036
1643064300000,36452.0,36459.0,36318.0,36349.0,70027
1643064600000,36349.0,36409.0,36334.0,36379.0,56941
1643064900000,36378.0,36379.0,36317.0,36352.0,36115
1643065200000,36343.0,36452.0,36327.0,36354.0,114981
1643065500000,36361.0,36482.0,36353.0,36481.0,118050
1643065800000,36482.0,36550.0,36458.0,36515.0,149134
1643066100000,36513.0,36682.0,36513.0,36682.0,164906
1643066400000,36681.0,36681.0,36517.0,36527.0,162755
