t,o,h,l,c,v
1643829300000,37440.0,37485.0,37380.0,37481.0,121503
1643830200000,37482.0,37634.0,37475.0,37579.0,335645
1643831100000,37579.0,37627.0,37521.0,37532.0,190725
1643832000000,37533.0,37603.0,37455.0,37573.0,257090
1643832900000,37573.0,37627.0,37458.0,37491.0,253773
1643833800000,37490.0,37515.0,37376.0,37403.0,289014
1643834700000,37402.0,37615.0,37388.0,37540.0,312426
1643835600000,37540.0,37576.0,37229.0,37325.0,505378
1643836500000,37332.0,37399.0,37065.0,37179.0,611474
1643837400000,37181.0,37248.0,36573.0,36678.0,1617520
1643838300000,36677.0,36920.0,36633.0,36897.0,799129
1643839200000,36898.0,37080.0,36814.0,36814.0,713760
1643840100000,36815.0,36979.0,36810.0,36978.0,301936
1643841000000,36979.0,37188.0,36978.0,37140.0,196908
1643841900000,37141.0,37150.0,36940.0,36987.0,167369
1643842800000,36984.0,37079.0,36907.0,37039.0,128071
1643843700000,37038.0,37104.0,36910.0,36945.0,169220
1643844600000,36944.0,37018.0,36819.0,36865.0,321033
1643845500000,36865.0,36950.0,36806.0,36865.0,328995
1643846400000,36875.0,36957.0,36751.0,36950.0,390107
1643847300000,36949.0,37000.0,36785.0,36962.0,293963
1643848200000,36962.0,37032.0,36861.0,36885.0,236293
1643849100000,36880.0,36955.0,36836.0,36883.0,88168
1643850000000,36879.0,36943.0,36851.0,36929.0,82739
1643850900000,36921.0,36955.0,36866.0,36887.0,76535
1643851800000,36888.0,36982.0,36888.0,36949.0,88695
1643852700000,36949.0,36951.0,36750.0,36828.0,221273
1643853600000,36827.0,36871.0,36702.0,36800.0,214081
1643854500000,36801.0,36855.0,36753.0,36832.0,161813
1643855400000,36832.0,36915.0,36831.0,36890.0,122495
1643856300000,36889.0,36946.0,36875.0,36946.0,104979
1643857200000,36945.0,36946.0,36866.0,36924.0,81905
1643858100000,36924.0,36929.0,36821.0,36821.0,81283
1643859000000,36821.0,36915.0,36805.0,36813.0,105100
1643859900000,36812.0,36873.0,36770.0,36811.0,164889
1643860800000,36811.0,36901.0,36771.0,36891.0,112245
1643861700000,36892.0,36902.0,36822.0,36847.0,76071
1643862600000,36843.0,36900.0,36817.0,36886.0,90112
1643863500000,36885.0,36935.0,36885.0,36887.0,112667
1643864400000,36888.0,36895.0,36826.0,36853.0,144972
1643865300000,36853.0,37006.0,36853.0,37001.0,263333
1643866200000,37000.0,37066.0,36952.0,36956.0,177699
1643867100000,36956.0,37044.0,36932.0,36984.0,153214
1643868000000,36984.0,36992.0,36944.0,36957.0,89060
1643868900000,36957.0,36960.0,36842.0,36842.0,172148
1643869800000,36842.0,36894.0,36841.0,36888.0,145705
1643870700000,36887.0,36938.0,36885.0,36916.0,64738
1643871600000,36917.0,37024.0,36914.0,37008.0,138165
1643872500000,37009.0,37015.0,36965.0,37015.0,58364
1643873400000,37014.0,37037.0,36940.0,37027.0,106489
1643874300000,37027.0,37072.0,37002.0,37011.0,101837
1643875200000,37010.0,37080.0,37010.0,37075.0,68506
1643876100000,37075.0,37078.0,37020.0,37021.0,81089
