t,o,h,l,c,v
1642686420000,42399.0,42417.0,42399.0,42416.0,16784
1642686480000,42415.0,42436.0,42415.0,42435.0,27892
1642686540000,42435.0,42444.0,42430.0,42443.0,11021
1642686600000,42443.0,42444.0,42415.0,42418.0,24952
1642686660000,42419.0,42427.0,42354.0,42368.0,24961
1642686720000,42368.0,42390.0,42353.0,42390.0,32260
1642686780000,42391.0,42398.0,42375.0,42386.0,13788
1642686840000,42386.0,42424.0,42386.0,42399.0,20574
1642686900000,42398.0,42398.0,42345.0,42366.0,19445
1642686960000,42366.0,42376.0,42338.0,42362.0,30110
1642687020000,42363.0,42363.0,42340.0,42350.0,17960
1642687080000,42351.0,42370.0,42337.0,42358.0,7454
1642687140000,42359.0,42369.0,42350.0,42359.0,7436
1642687200000,42360.0,42427.0,42360.0,42375.0,52646
1642687260000,42362.0,42407.0,42360.0,42391.0,22773
1642687320000,42390.0,42391.0,42361.0,42367.0,12080
1642687380000,42366.0,42409.0,42366.0,42393.0,6851
1642687440000,42399.0,42417.0,42395.0,42417.0,7315
1642687500000,42416.0,42429.0,42401.0,42418.0,11735
1642687560000,42419.0,42419.0,42408.0,42409.0,5189
1642687620000,42408.0,42430.0,42402.0,42424.0,18863
1642687680000,42423.0,42492.0,42423.0,42470.0,39421
1642687740000,42471.0,42480.0,42428.0,42432.0,16892
1642687800000,42432.0,42457.0,42432.0,42457.0,16334
1642687860000,42456.0,42456.0,42412.0,42413.0,35385
1642687920000,42413.0,42449.0,42406.0,42439.0,23105
1642687980000,42440.0,42463.0,42433.0,42458.0,20693
1642688040000,42458.0,42479.0,42439.0,42466.0,22070
1642688100000,42466.0,42490.0,42416.0,42428.0,27750
1642688160000,42431.0,42432.0,42409.0,42420.0,23638
1642688220000,42423.0,42424.0,42405.0,42408.0,8084
1642688280000,42405.0,42437.0,42405.0,42437.0,10203
1642688340000,42438.0,42448.0,42413.0,42429.0,11579
1642688400000,42436.0,42450.0,42431.0,42432.0,5926
1642688460000,42433.0,42450.0,42432.0,42435.0,4501
1642688520000,42435.0,42450.0,42435.0,42450.0,5254
1642688580000,42449.0,42450.0,42427.0,42435.0,5335
1642688640000,42429.0,42449.0,42429.0,42448.0,5033
1642688700000,42447.0,42447.0,42425.0,42437.0,6617
1642688760000,42436.0,42437.0,42417.0,42417.0,4541
1642688820000,42416.0,42417.0,42388.0,42388.0,10889
1642688880000,42388.0,42406.0,42380.0,42399.0,10609
1642688940000,42400.0,42409.0,42380.0,42380.0,42370
1642689000000,42380.0,42462.0,42376.0,42460.0,32517
1642689060000,42465.0,42650.0,42449.0,42638.0,202391
1642689120000,42639.0,42700.0,42607.0,42679.0,125004
1642689180000,42679.0,42700.0,42645.0,42691.0,50079
1642689240000,42692.0,42794.0,42691.0,42757.0,179862
1642689300000,42756.0,42778.0,42706.0,42721.0,52064
1642689360000,42732.0,42732.0,42623.0,42671.0,48947
1642689420000,42671.0,42747.0,42659.0,42659.0,77299
1642689480000,42658.0,42699.0,42651.0,42675.0,48899
1642689540000,42680.0,42700.0,42668.0,42698.0,21137
1642689600000,42698.0,42698.0,42645.0,42676.0,35120
1642689660000,42673.0,42689.0,42667.0,42689.0,11820
