t,o,h,l,c,v
1643049900000,35897.0,36407.0,35891.0,36136.0,1368036
1643050800000,36129.0,36290.0,35879.0,35894.0,765297
1643051700000,35894.0,35968.0,35713.0,35817.0,630543
1643052600000,35816.0,35990.0,35632.0,35749.0,583527
1643053500000,35749.0,36156.0,35650.0,36045.0,691218
1643054400000,36044.0,36219.0,35876.0,36176.0,793557
1643055300000,36176.0,36297.0,35972.0,36056.0,791010
1643056200000,36054.0,36667.0,35982.0,36350.0,1445229
1643057100000,36358.0,37533.0,36357.0,37183.0,2828668
1643058000000,37186.0,37190.0,36780.0,36864.0,1040423
1643058900000,36863.0,37025.0,36789.0,36862.0,474552
1643059800000,36863.0,37041.0,36808.0,36837.0,354280
1643060700000,36837.0,36882.0,36700.0,36789.0,403220
1643061600000,36788.0,36789.0,36582.0,36749.0,451418
1643062500000,36749.0,36807.0,36480.0,36518.0,394397
1643063400000,36518.0,36524.0,36243.0,36452.0,494174
1643064300000,36452.0,36459.0,36317.0,36352.0,163083
1643065200000,36343.0,36550.0,36327.0,36515.0,382165
1643066100000,36513.0,36682.0,36475.0,36524.0,459174
1643067000000,36525.0,36725.0,36450.0,36664.0,389868
1643067900000,36665.0,36750.0,36609.0,36659.0,368538
1643068800000,36654.0,36659.0,36367.0,36473.0,650725
1643069700000,36473.0,36640.0,36237.0,36258.0,585490
1643070600000,36258.0,36355.0,36247.0,36310.0,261666
1643071500000,36310.0,36347.0,35995.0,36016.0,575486
1643072400000,36016.0,36148.0,35934.0,35975.0,437137
1643073300000,35975.0,36150.0,35941.0,36104.0,250649
1643074200000,36103.0,36155.0,36017.0,36020.0,167557
1643075100000,36021.0,36139.0,36006.0,36111.0,196538
1643076000000,36110.0,36242.0,36085.0,36181.0,276682
1643076900000,36182.0,36225.0,36073.0,36150.0,232460
1643077800000,36151.0,36212.0,36129.0,36154.0,143746
1643078700000,36154.0,36320.0,36144.0,36293.0,284415
1643079600000,36294.0,36300.0,36157.0,36187.0,125830
1643080500000,36187.0,36245.0,36167.0,36240.0,76267
1643081400000,36243.0,36419.0,36243.0,36320.0,285320
1643082300000,36321.0,36446.0,36263.0,36421.0,174297
1643083200000,36420.0,36472.0,36330.0,36359.0,218548
1643084100000,36359.0,36392.0,36310.0,36367.0,124695
1643085000000,36378.0,36379.0,36378.0,36378.0,664
1643086800000,36379.0,36379.0,36379.0,36379.0,1
