t,o,h,l,c,v
1642616100000,42188.0,42208.0,41988.0,41996.0,124548
1642617000000,41996.0,41999.0,41870.0,41983.0,193980
1642617900000,41984.0,42038.0,41934.0,41990.0,85776
1642618800000,41987.0,42031.0,41738.0,41784.0,261894
1642619700000,41784.0,41840.0,41745.0,41754.0,139882
1642620600000,41762.0,41900.0,41747.0,41882.0,117105
1642621500000,41883.0,41901.0,41745.0,41870.0,126856
1642622400000,41863.0,41957.0,41772.0,41926.0,146404
1642623300000,41919.0,41952.0,41706.0,41715.0,184210
1642624200000,41716.0,41716.0,41578.0,41680.0,336512
1642625100000,41680.0,41712.0,41565.0,41631.0,194879
1642626000000,41632.0,41858.0,41632.0,41710.0,325140
1642626900000,41703.0,41772.0,41670.0,41770.0,99647
1642627800000,41771.0,41780.0,41688.0,41756.0,102852
1642628700000,41756.0,41784.0,41701.0,41712.0,95693
1642629600000,41711.0,41766.0,41638.0,41760.0,179980
1642630500000,41769.0,41900.0,41769.0,41874.0,171764
1642631400000,41874.0,41957.0,41866.0,41957.0,76777
1642632300000,41957.0,41990.0,41861.0,41969.0,216279
1642633200000,41969.0,41969.0,41863.0,41873.0,122522
1642634100000,41874.0,41906.0,41768.0,41792.0,133552
1642635000000,41789.0,41862.0,41771.0,41785.0,67205
1642635900000,41785.0,41788.0,41625.0,41649.0,240959
1642636800000,41650.0,41770.0,41637.0,41740.0,214275
1642637700000,41740.0,41844.0,41735.0,41762.0,109139
1642638600000,41761.0,41848.0,41750.0,41789.0,70239
1642639500000,41788.0,41830.0,41732.0,41819.0,88803
1642640400000,41819.0,41872.0,41750.0,41790.0,76819
1642641300000,41790.0,41812.0,41670.0,41686.0,61166
1642642200000,41686.0,41775.0,41653.0,41769.0,60013
1642643100000,41769.0,41800.0,41713.0,41755.0,48417
1642644000000,41756.0,41950.0,41755.0,41908.0,173440
1642644900000,41904.0,41952.0,41818.0,41928.0,48262
1642645800000,41928.0,42052.0,41901.0,41988.0,188638
