t,o,h,l,c,v
1641393000000,46407.0,46791.0,46222.0,46325.0,825517
1641393900000,46324.0,46846.0,46136.0,46704.0,1042690
1641394800000,46704.0,46823.0,46555.0,46555.0,427022
1641395700000,46555.0,46777.0,46493.0,46737.0,291163
1641396600000,46737.0,46738.0,46434.0,46541.0,231610
1641397500000,46540.0,46638.0,46369.0,46609.0,217641
1641398400000,46610.0,46650.0,46343.0,46457.0,253737
1641399300000,46456.0,46665.0,46456.0,46665.0,251515
1641400200000,46669.0,46670.0,46370.0,46401.0,187070
1641401100000,46401.0,46401.0,46275.0,46300.0,338186
1641402000000,46300.0,46467.0,46286.0,46364.0,206445
1641402900000,46363.0,46390.0,46244.0,46375.0,203702
1641403800000,46374.0,46374.0,46071.0,46153.0,377326
1641404700000,46153.0,46210.0,46005.0,46005.0,305951
1641405600000,46006.0,46006.0,45572.0,45802.0,1725572
1641406500000,45802.0,45978.0,45601.0,45875.0,825283
1641407400000,45871.0,46372.0,45820.0,46022.0,1006369
1641408300000,46022.0,46196.0,45925.0,45925.0,411903
1641409200000,45926.0,46112.0,45670.0,45722.0,770988
1641410100000,45723.0,46052.0,45615.0,45932.0,720341
1641411000000,45933.0,46011.0,45578.0,45579.0,476926
1641411900000,45579.0,45636.0,44300.0,44692.0,4055691
1641412800000,44691.0,44854.0,43250.0,44218.0,3572449
1641413700000,44217.0,44491.0,44001.0,44155.0,1319147
1641414600000,44154.0,44411.0,44023.0,44206.0,681574
1641415500000,44206.0,44292.0,43882.0,43968.0,1067006
1641416400000,43967.0,44350.0,43901.0,44188.0,693868
1641417300000,44188.0,44221.0,43830.0,43983.0,596607
1641418200000,43984.0,43996.0,43150.0,43670.0,1917066
1641419100000,43670.0,43939.0,43601.0,43610.0,731823
1641420000000,43610.0,43780.0,43120.0,43359.0,1025228
1641420900000,43360.0,43499.0,42940.0,42962.0,1077853
1641421800000,42962.0,43502.0,42424.0,43414.0,2210159
1641422700000,43413.0,43612.0,43081.0,43433.0,1170033
1641423600000,43434.0,43550.0,43237.0,43528.0,740306
1641424500000,43528.0,43683.0,43450.0,43616.0,604168
1641425400000,43617.0,43629.0,43382.0,43585.0,449840
1641426300000,43585.0,43650.0,43371.0,43419.0,478589
1641427200000,43419.0,43540.0,43223.0,43484.0,605643
1641428100000,43483.0,43651.0,43351.0,43511.0,321341
1641429000000,43510.0,43757.0,43467.0,43680.0,548785
1641429900000,43680.0,43682.0,43520.0,43658.0,242080
1641430800000,43657.0,43686.0,43514.0,43638.0,141476
1641431700000,43634.0,43779.0,43556.0,43596.0,265953
1641432600000,43596.0,43637.0,43502.0,43636.0,210919
1641433500000,43636.0,43637.0,43286.0,43541.0,468238
1641434400000,43536.0,43598.0,43345.0,43345.0,211365
1641435300000,43345.0,43406.0,43125.0,43227.0,493614
1641436200000,43227.0,43400.0,43198.0,43399.0,388112
1641437100000,43399.0,43442.0,43214.0,43255.0,203518
1641438000000,43256.0,43301.0,43080.0,43231.0,436915
1641438900000,43231.0,43250.0,43080.0,43081.0,214277
1641439800000,43081.0,43202.0,42974.0,43072.0,355123
1641440700000,43081.0,43127.0,42804.0,42814.0,653703
