t,o,h,l,c,v
1644258600000,44022.0,44143.0,43867.0,43871.0,460547
1644259500000,43871.0,44089.0,43742.0,44051.0,736200
1644260400000,44052.0,44187.0,43941.0,44170.0,433917
1644261300000,44169.0,44421.0,44120.0,44393.0,492073
1644262200000,44393.0,44475.0,44203.0,44406.0,594523
1644263100000,44406.0,44406.0,44221.0,44230.0,262829
1644264000000,44230.0,44413.0,44220.0,44369.0,283533
1644264900000,44369.0,44369.0,44101.0,44139.0,489024
1644265800000,44144.0,44200.0,43957.0,44080.0,486661
1644266700000,44080.0,44144.0,43777.0,44120.0,788267
1644267600000,44119.0,44218.0,43950.0,44134.0,488197
1644268500000,44134.0,44134.0,43717.0,43825.0,615767
1644269400000,43825.0,44049.0,43825.0,43950.0,252165
1644270300000,43950.0,44064.0,43829.0,44050.0,328322
1644271200000,44050.0,44077.0,43937.0,44028.0,185306
1644272100000,44028.0,44168.0,43976.0,44130.0,167501
1644273000000,44130.0,44144.0,44034.0,44127.0,126776
1644273900000,44127.0,44137.0,44029.0,44050.0,97025
1644274800000,44049.0,44169.0,43887.0,43901.0,247244
1644275700000,43900.0,43964.0,43775.0,43814.0,292620
1644276600000,43814.0,43931.0,43734.0,43853.0,308220
1644277500000,43853.0,43918.0,43734.0,43832.0,257700
1644278400000,43835.0,43932.0,43635.0,43649.0,392078
1644279300000,43659.0,43827.0,43553.0,43764.0,477324
1644280200000,43768.0,43867.0,43704.0,43835.0,204324
1644281100000,43840.0,43900.0,43779.0,43830.0,192288
1644282000000,43829.0,43955.0,43785.0,43916.0,175502
1644282900000,43916.0,43961.0,43882.0,43935.0,121033
1644283800000,43947.0,44018.0,43907.0,43976.0,129885
1644284700000,43987.0,44055.0,43963.0,44025.0,121135
1644285600000,44025.0,44081.0,43975.0,43992.0,113795
1644286500000,43978.0,44064.0,43941.0,44000.0,121173
1644287400000,43993.0,44032.0,43972.0,44000.0,65658
1644288300000,44000.0,44039.0,43877.0,43930.0,121677
1644289200000,43930.0,43992.0,43821.0,43859.0,143018
1644290100000,43860.0,43946.0,43850.0,43943.0,99490
1644291000000,43943.0,44135.0,43922.0,44085.0,169098
1644291900000,44090.0,44162.0,44040.0,44162.0,127029
