t,o,h,l,c,v
1644414300000,44175.0,44175.0,43855.0,43936.0,357382
1644415200000,43937.0,43976.0,43778.0,43914.0,326331
1644416100000,43911.0,44045.0,43841.0,43961.0,210408
1644417000000,43962.0,44237.0,43918.0,44128.0,337055
1644417900000,44132.0,44237.0,44012.0,44077.0,282877
1644418800000,44078.0,44187.0,44008.0,44016.0,270660
1644419700000,44016.0,44023.0,43850.0,43986.0,316386
1644420600000,43987.0,44061.0,43819.0,43825.0,269219
1644421500000,43822.0,43890.0,43788.0,43863.0,213252
1644422400000,43863.0,44012.0,43560.0,43746.0,722921
1644423300000,43746.0,43840.0,43674.0,43782.0,186198
1644424200000,43783.0,43940.0,43726.0,43939.0,203570
1644425100000,43939.0,44122.0,43938.0,44070.0,269676
1644426000000,44071.0,44155.0,44031.0,44110.0,199968
1644426900000,44110.0,44289.0,44109.0,44158.0,268830
1644427800000,44158.0,44214.0,44027.0,44145.0,151050
1644428700000,44138.0,44191.0,43965.0,44041.0,166059
1644429600000,44040.0,44095.0,43950.0,43957.0,144178
1644430500000,43962.0,44027.0,43901.0,43945.0,119998
1644431400000,43945.0,43972.0,43921.0,43944.0,30896
