id,symbol,autoDeposit,maintMarginReq,riskLimit,realLeverage,crossMode,delevPercentage,openingTimestamp,currentTimestamp,currentQty,currentCost,currentComm,unrealisedCost,realisedGrossCost,realisedCost,isOpen,markPrice,markValue,posCost,posCross,posInit,posComm,posLoss,posMargin,posMaint,maintMargin,realisedGrossPnl,realisedPnl,unrealisedPnl,unrealisedPnlPcnt,unrealisedRoePcnt,entryPrice,liquidationPrice,bankruptPrice,settleCurrency,isInverse,exitPrice,totalProfit,maxProfit,bot
1641475798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20041.44,20041.44,0.466210105145622,-1,42988.0,52988.0,-1,USDT,False,42736.0,-0.6847416154120791,0.466210105145622,JesusShort
1641483898500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42897.0,32897.0,-1,USDT,False,-1,0,-1000,JesusLong
1641483898500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7752.3600000000015,7752.3600000000015,0.18072033009301353,-1,42897.0,32897.0,-1,USDT,False,43026.0,-0.5040212853190655,0.18072033009301353,JesusLong
1641492898500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43120.0,53120.0,-1,USDT,False,-1,0,-1000,JesusShort
1641492898500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-15074.4,-15074.4,-0.34959183673469385,-1,43120.0,53120.0,-1,USDT,False,43219.0,-0.8536131220537594,0.02842300556586272,JesusShort
1641518098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42942.0,32942.0,-1,USDT,False,-1,0,-1000,JesusLong
1641518098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-19953.04,-19953.04,-0.46465092450281775,-1,42942.0,32942.0,-1,USDT,False,42794.0,-1.3182640465565771,-0.005892599320013042,JesusLong
1641541498500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41471.0,31471.0,-1,USDT,False,-1,0,-1000,JesusLong
1641541498500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63323.48,63323.48,1.5269340020737383,-1,41471.0,31471.0,-1,USDT,False,42154.0,0.20866995551716117,1.5269340020737383,JesusLong
1641545998500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42072.0,52072.0,-1,USDT,False,-1,0,-1000,JesusShort
